id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng
85899345940,21,The Lazy Daisy,18952,US,Bowling Green,41.375,-83.619
223338299420,29,The Olive Branch,36937,US,Washington,45.427,9.072
171798691889,50,The Pancake House,65939,FR,Paris,48.882,2.336
103079215121,18,The Harvest Room,4340,US,Mount Airy,36.481,-80.602
154618822678,23,The Hungry Pig,41484,ES,Barcelona,41.383,2.17
8589934624,33,The Blue Elephant,12630,US,Burnsville,44.769,-93.291
206158430283,76,Happy Hour Cafe,53370,GB,London,51.499,-0.192
111669149738,43,The Food House,84488,FR,Paris,48.849,2.296
231928234004,21,The Lazy Daisy,33573,ES,Barcelona,41.405,2.212
34359738379,12,The Wooden Spoon,50333,US,Crystal Bay,39.225,-120.006
171798691904,65,Chef's Corner,65939,GB,London,51.54,-0.146
214748364867,68,Delish Cafe,92040,GB,London,51.496,-0.169
223338299411,20,The Brasserie,36937,ES,Barcelona,41.386,2.129
60129542164,21,The Lazy Daisy,71555,US,Towson,39.407,-76.601
257698037767,8,The Green Olive,26468,US,Douglasville,33.751,-84.716
94489280561,50,The Pancake House,95399,FR,Paris,48.881,2.299
163208757322,75,Greenhouse Cafe,96638,NL,Amsterdam,52.369,4.887
214748364851,52,The Red Door,92040,FR,Paris,48.854,2.336
163208757270,23,The Hungry Pig,96638,US,Bellefonte,40.883,-77.78
17179869194,11,The Flaming Wok,10902,US,Hot Springs National Park,34.498,-93.057
197568495662,47,The Juicy Burger,24784,AT,Vienna,48.202,16.371
154618822656,1,Savoria,41484,US,Key West,24.547,-81.794
137438953514,43,The Food House,11038,FR,Paris,48.855,2.369
85899345939,20,The Brasserie,18952,US,Wapello,41.175,-91.19
103079215144,41,The Daily Bread,4340,US,Random Lake,43.559,-87.94
51539607589,38,Cafe Viva,6934,AT,Vienna,48.191,16.408
120259084312,25,The Cozy Cafe,59829,US,Douglas,42.678,-105.333
85899345947,28,The Spicy Pickle,18952,US,Coralville,41.701,-91.607
240518168617,42,The Daily Scoop,93164,US,Worthington,43.629,-95.581
128849018925,46,The Italian Table,5679,FR,Paris,48.83,2.353
128849018924,45,The Green Bean,5679,AT,Vienna,48.198,16.367
197568495618,3,Spice Bazaar,24784,US,Englewood,26.935,-82.319
8589934646,55,The Steak House,12630,GB,London,51.424,-0.229
25769803834,59,Azalea Cafe,72230,FR,Paris,48.88,2.334
257698037787,28,The Spicy Pickle,26468,US,Interior,43.738,-101.965
257698037770,11,The Flaming Wok,26468,US,Memphis,35.036,-89.799
163208757278,31,Bistro 42,96638,ES,Barcelona,41.39,2.126
240518168608,33,The Blue Elephant,93164,ES,Barcelona,41.405,2.173
214748364832,33,The Blue Elephant,92040,IT,Milan,45.451,9.195
34359738404,37,Cafe Crepe,50333,AT,Vienna,48.21,16.37
120259084298,11,The Flaming Wok,59829,US,Palm Springs,33.841,-116.545
25769803809,34,The Tasty Treat,72230,US,Grand Rapids,42.909,-85.574
8589934621,30,The Wine Cellar,12630,US,Humeston,43.772,11.251
266287972363,12,The Wooden Spoon,11263,US,Brandywine,38.669,-76.876
60129542191,48,The Local Cafe,71555,FR,Paris,48.864,2.332
214748364859,60,Big City Grill,92040,FR,Paris,48.869,2.325
17179869239,56,The Waffle House,10902,FR,Paris,48.854,2.381
25769803826,51,The Pizzeria,72230,FR,Paris,48.856,2.362
94489280541,30,The Wine Cellar,95399,US,Narragansett,41.428,-71.456
8589934602,11,The Flaming Wok,12630,US,Dodge City,37.754,-100.041
44,45,The Green Bean,47732,AT,Vienna,48.198,16.348
34359738390,23,The Hungry Pig,50333,US,Saint Paul,44.971,-93.155
231928234022,39,Cinnamon Grill,33573,US,Whitefish,48.391,-114.336
154618822673,18,The Harvest Room,41484,US,Licking,37.461,-91.988
128849018952,73,Fresh Harvest,5679,GB,London,51.513,-0.18
34359738426,59,Azalea Cafe,50333,GB,London,51.47,-0.178
17179869196,13,The Firehouse,10902,US,Cary,35.733,-78.79
223338299404,13,The Firehouse,36937,US,Lake Ozark,38.206,-92.665
249108103212,45,The Green Bean,55897,IT,Milan,45.477,9.197
